小区,户型,面积,价格,单价,朝向,电梯,位置,地铁
诺德假日花园,2室1厅1厨1卫,66.16㎡,630,95224元/平米,东北,有,南山区 前海 ,
万科城三期,4室2厅1厨2卫,109.2㎡,550,50367元/平米,东南,有,龙岗区 坂田 ,
大冲城市花园,3室1厅1厨2卫,125㎡,1550,124000元/平米,南,有,南山区 科技园 ,近1号线(罗宝线)高新园站
西荟城一期,4室2厅1厨2卫,88.96㎡,435,48899元/平米,东北,有,宝安区 沙井 ,近11号线沙井站
荔树人家,3室1厅1厨1卫,89.81㎡,495,55117元/平米,南,有,福田区 新洲 ,近7号线上沙站
福永花苑,3室1厅1厨1卫,64.51㎡,260,40304元/平米,东南,有,宝安区 福永 ,
松坪村梅苑,3室2厅1厨1卫,78.15㎡,550,70378元/平米,南 北,无,南山区 科技园 ,
新一代国际公寓,3室1厅1厨1卫,42.36㎡,430,101511元/平米,南,有,南山区 后海 ,
设计院宿舍,3室2厅1厨1卫,88.33㎡,670,75852元/平米,南,无,福田区 景田 ,近9号线香梅站
佳兆业水岸新都,2室1厅1厨1卫,64.74㎡,185,28576元/平米,东南,有,龙岗区 龙岗双龙 ,
招商澜园,3室2厅1厨1卫,89.23㎡,438,49087元/平米,南,有,龙华区 观澜 ,
麒麟花园A区,1室0厅1厨1卫,40.59㎡,540,133038元/平米,北,有,南山区 南头 ,
广兴源圣拿威,2室1厅1厨1卫,54.16㎡,408,75333元/平米,西北,有,宝安区 碧海 ,近1号线(罗宝线)坪洲站
幸福海岸二期,3室1厅1厨2卫,117㎡,870,74359元/平米,西北,有,宝安区 宝安中心 ,近1号线(罗宝线)宝体站
汇龙苑,2室1厅1厨1卫,78.51㎡,420,53497元/平米,西南 东北,无,龙华区 梅林关 ,近4号线(龙华线)白石龙站
银泉花园,2室2厅1厨1卫,69.95㎡,310,44318元/平米,西南,有,龙华区 龙华中心 ,
万科清林径,2室1厅1厨1卫,78.95㎡,248,31413元/平米,北,有,龙岗区 龙岗中心城 ,
龙珠花园,2室2厅1厨1卫,58.47㎡,225,38482元/平米,西,有,龙岗区 布吉关 ,近3号线(龙岗线)布吉站
嘉庭苑,2室1厅1厨1卫,70.22㎡,690,98263元/平米,南,无,南山区 南头 ,
时代骄子大厦,1室0厅1厨1卫,36.82㎡,250,67898元/平米,西,有,南山区 南山中心 ,近1号线(罗宝线)桃园站
丰湖花园,2室1厅1厨1卫,67.55㎡,285,42191元/平米,北,有,罗湖区 清水河 ,近3号线(龙岗线)水贝站
庐山花园,3室1厅1厨1卫,91.05㎡,315,34597元/平米,西北,有,罗湖区 罗湖口岸 ,近9号线向西村站
嘉宝田花园,2室1厅1厨1卫,67.24㎡,420,62463元/平米,南,有,罗湖区 笋岗 ,近9号线园岭站
祥福雅居,1室1厅1厨1卫,37.28㎡,209,56063元/平米,西,有,罗湖区 笋岗 ,近7号线笋岗站
横岗花半里雅筑,3室1厅1厨1卫,66.31㎡,250,37702元/平米,南,有,龙岗区 大运新城 ,近3号线(龙岗线)荷坳站
